Name,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Recom,Avg Volume,Rel Volume,Change,Volume,Stocks,Market Cap.,Dividend,P/E,Fwd P/E,PEG,Float Short
Advertising Agencies,-3.94%,-0.0089,-0.1659,-0.2302,-0.23420000000000002,-0.1975,2.11,26780000.0,0.7,-0.0036,18740000.0,43,44270000000.0,0.0371,14.9,8.61,1.27,0.0742
Aerospace & Defense,-0.78%,0.1047,0.1364,0.1396,0.23629999999999998,0.16390000000000002,1.84,135230000.0,0.76,0.0023,103400000.0,74,1342660000000.0,0.0095,39.3,27.12,2.75,0.041299999999999996
Agricultural Inputs,0.38%,0.10550000000000001,0.12539999999999998,0.1653,0.08439999999999999,0.1954,2.03,20870000.0,0.53,0.0059,11150000.0,16,120300000000.0,0.0242,29.49,15.68,2.84,0.0183
Airlines,-0.95%,0.15460000000000002,-0.10769999999999999,-0.094,-0.0983,-0.1054,1.8,144780000.0,0.64,-0.0026,93130000.0,19,141900000000.0,0.0125,11.9,8.33,0.62,0.0716
Airports & Air Services,-0.97%,0.1148,0.1725,0.1989,0.1114,0.1843,2.29,14730000.0,0.65,0.0049,9630000.0,9,34250000000.0,0.0481,21.82,17.4,1.79,0.0874
Aluminum,-3.90%,0.0669,-0.1441,-0.3177,-0.3563,-0.1815,1.62,10060000.0,0.69,0.002,6930000.0,4,11530000000.0,0.013500000000000002,10.59,9.08,0.23,0.043
Apparel Manufacturing,-3.91%,0.12380000000000001,-0.1698,-0.10369999999999999,-0.0095,-0.1368,2.26,52560000.0,1.13,-0.0097,59200000.0,26,62490000000.0,0.0123,26.14,16.33,2.16,0.0877
Apparel Retail,-5.85%,0.0446,-0.0023,0.010700000000000001,0.12869999999999998,-0.0559,1.79,57560000.0,1.23,-0.044000000000000004,70880000.0,32,278420000000.0,0.0116,18.68,20.27,2.45,0.06
Asset Management,-4.73%,0.047,-0.059500000000000004,-0.1076,0.127,-0.0861,1.99,168450000.0,0.64,-0.004,107950000.0,132,1196030000000.0,0.0256,26.49,16.35,1.93,0.024700000000000003
Auto & Truck Dealerships,-2.18%,0.111,0.0449,0.0103,0.3246,0.073,1.92,24010000.0,0.71,0.0001,17060000.0,29,138740000000.0,0.003,27.6,19.81,0.74,0.06559999999999999
Auto Manufacturers,-2.76%,0.1924,0.0222,-0.0009,0.3298,-0.1143,2.32,520600000.0,0.67,-0.0073,347400000.0,34,1667300000000.0,0.009899999999999999,26.98,23.41,1.85,0.0537
Auto Parts,-1.33%,0.0706,0.0382,0.0839,0.062400000000000004,0.07629999999999999,1.81,90070000.0,1.29,-0.0036,116380000.0,56,278830000000.0,0.0085,21.47,15.44,1.95,0.07440000000000001
Banks - Diversified,-0.95%,0.08,0.0305,0.0974,0.2426,0.11560000000000001,1.8,158530000.0,0.68,-0.0007000000000000001,107980000.0,19,2887610000000.0,0.032799999999999996,12.3,10.41,1.17,0.0053
