Name,Market Cap.,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date)
Advertising Agencies,44270000000.0,-3.94,-0.89,-16.59,-23.02,-23.42,-19.75
Aerospace & Defense,1342660000000.0,-0.78,10.47,13.639999999999999,13.96,23.63,16.39
Agricultural Inputs,120300000000.0,0.38,10.55,12.54,16.53,8.44,19.54
Airlines,141900000000.0,-0.95,15.46,-10.77,-9.4,-9.83,-10.54
Airports & Air Services,34250000000.0,-0.97,11.48,17.25,19.89,11.14,18.43
Aluminum,11530000000.0,-3.9,6.69,-14.41,-31.77,-35.63,-18.15
Apparel Manufacturing,62490000000.0,-3.91,12.38,-16.98,-10.37,-0.95,-13.68
Apparel Retail,278420000000.0,-5.85,4.46,-0.22999999999999998,1.07,12.869999999999997,-5.59
Asset Management,1196030000000.0,-4.73,4.7,-5.95,-10.76,12.7,-8.61
Auto & Truck Dealerships,138740000000.0,-2.18,11.1,4.49,1.03,32.46,7.3
Auto Manufacturers,1667300000000.0,-2.76,19.24,2.22,-0.09,32.98,-11.43
Auto Parts,278830000000.0,-1.33,7.06,3.82,8.39,6.24,7.629999999999999
Banks - Diversified,2887610000000.0,-0.95,8.0,3.05,9.74,24.26,11.56
Banks - Regional,1581000000000.0,-1.58,5.19,4.46,0.25,19.14,6.29
Beverages - Brewers,231750000000.0,0.17,2.37,20.24,10.24,-2.24,21.82
Beverages - Non-Alcoholic,681050000000.0,-0.87,-1.46,-2.79,3.61,-3.5000000000000004,4.73
Beverages - Wineries & Distilleries,93950000000.0,-5.25,-2.01,-0.29,-10.22,-24.13,-13.5
Biotechnology,764440000000.0,0.78,-4.44,-10.59,-11.38,-14.52,-7.68
Broadcasting,14230000000.0,-2.71,8.95,-26.5,-23.75,-18.32,-21.33
Building Materials,177930000000.0,-3.21,6.07,0.35,-6.959999999999999,4.19,1.18
Building Products & Equipment,364370000000.0,-4.11,12.879999999999999,5.85,-6.4399999999999995,4.64,2.7
Business Equipment & Supplies,1190000000.0,-4.84,3.6900000000000004,-14.12,-23.99,-23.65,-21.77
Capital Markets,910710000000.0,-2.76,11.18,0.36,2.11,24.71,7.16
Chemicals,37840000000.0,-5.02,-1.15,-22.98,-34.79,-54.449999999999996,-29.39
Coking Coal,5100000000.0,-6.36,-10.55,-14.7,-40.02,-44.2,-26.530000000000005
Communication Equipment,496130000000.0,-1.56,9.51,-0.22,2.66,30.14,0.93
Computer Hardware,366600000000.0,-2.32,21.57,-5.01,0.63,-4.72,-5.72
Confectioners,120110000000.0,0.59,-0.36,-1.9299999999999997,0.75,-10.84,6.09
Conglomerates,246060000000.0,-1.63,7.99,2.74,1.31,16.22,2.29
Consulting Services,103410000000.0,-4.59,2.35,4.25,2.02,3.92,3.4099999999999997
Consumer Electronics,3075170000000.0,-7.07,-5.9,-20.04,-12.869999999999997,3.2,-20.61
Copper,137690000000.0,2.35,0.4699999999999999,2.95,-10.17,-26.239999999999995,3.07
Credit Services,1746230000000.0,-3.76,5.17,-1.06,6.4399999999999995,24.19,4.87
Department Stores,14590000000.0,-4.5,15.98,-19.95,-15.89,-30.61,-19.85
Diagnostics & Research,575030000000.0,-4.19,-3.15,-16.57,-16.08,-24.76,-17.18
Discount Stores,1331370000000.0,-1.72,1.7000000000000002,0.45999999999999996,8.17,30.020000000000003,6.64
Drug Manufacturers - General,2957630000000.0,-0.08,-4.1,-12.17,-3.61,-12.65,-3.16
Drug Manufacturers - Specialty & Generic,303030000000.0,1.08,7.12,1.8500000000000003,-0.15,3.17,0.0
Education & Training Services,52080000000.0,-2.1,11.67,2.68,11.08,4.08,7.090000000000001
Electrical Equipment & Parts,107600000000.0,-2.94,13.970000000000002,2.7,-19.51,-4.79,-9.3
Electronic Components,286150000000.0,-1.69,12.710000000000003,8.45,11.23,21.45,11.27
Electronic Gaming & Multimedia,212850000000.0,-0.46,10.41,17.32,22.99,37.96,23.29
Electronics & Computer Distribution,27770000000.0,-3.65,4.03,-7.670000000000001,-1.92,-13.34,-2.53
Engineering & Construction,240340000000.0,-1.73,15.909999999999998,19.47,-2.38,16.22,4.24
Entertainment,1057869999999.9999,-1.36,10.65,7.969999999999999,18.14,44.68,16.46
Farm & Heavy Construction Machinery,392770000000.0,-3.73,9.55,0.65,1.37,4.97,2.81
Farm Products,64739999999.99999,-3.05,-4.16,-1.35,-9.5,-14.41,-3.6799999999999997
Financial Conglomerates,42450000000.0,-2.12,5.78,3.2099999999999995,0.35,6.65,2.87
Financial Data & Stock Exchanges,677060000000.0,-1.13,8.53,1.7500000000000002,2.48,20.16,6.02
Food Distribution,73200000000.0,-2.16,4.3,-0.36,2.38,9.56,-0.4099999999999999
Footwear & Accessories,152050000000.0,-6.81,6.13,-17.45,-16.9,-25.069999999999997,-21.81
"Furnishings, Fixtures & Appliances",53240000000.0,-6.06,4.76,-10.27,-11.48,-0.18,-8.76
Gambling,101700000000.0,-3.35,3.54,-13.33,-11.42,-0.34,-7.06
Gold,374870000000.0,8.45,0.15,21.71,34.3,38.45,47.88
Grocery Stores,81290000000.0,-1.24,-3.7599999999999993,5.25,12.03,27.589999999999996,12.0
Health Information Services,99490000000.0,-3.83,3.37,-6.860000000000001,6.08,12.67,8.83
Healthcare Plans,595270000000.0,-2.26,-20.15,-20.88,-30.53,-31.71,-21.52
