Name,Market Cap.,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date)
Basic Materials,1984120000000.0,0.38,1.91,0.8,-2.18,-6.309999999999999,7.19
Communication Services,8692070000000.0,-0.53,7.969999999999999,-2.24,4.81,16.26,2.71
Consumer Cyclical,8213930000000.0,-2.86,8.72,-3.17,-1.21,12.64,-4.59
Consumer Defensive,4277580000000.0,-0.44,1.25,1.49,5.29,10.21,6.709999999999999
Energy,3666390000000.0,-2.71,0.37,-6.909999999999999,-9.63,-10.38,-2.98
Financial,12858820000000.0,-2.28,4.77,1.05,3.07,19.59,5.88
Healthcare,7131740000000.0,-1.37,-3.66,-10.53,-7.31,-11.25,-4.85
Industrials,5952640000000.0,-2.16,8.53,4.18,-0.88,7.95,4.2
Real Estate,1652560000000.0,-3.64,-0.5,-5.6,-8.32,2.83,-2.58
Technology,21004080000000.0,-3.16,10.66,-2.51,-1.67,12.879999999999999,-3.08
Utilities,1557350000000.0,-0.82,3.01,2.92,2.12,11.5,8.13
