Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
ASST,0.8937,22.441399999999998,18.7931,17.3472,6.034299999999999,25.524,0.20149999999999998,0.4397,,12550000.0,2.96,13.01,0.6182,37123656.0
RGC,0.0983,13.4802,97.11110000000001,65.8939,85.5686,88.3725,0.16210000000000002,0.26289999999999997,,708970.0,0.03,441.5,0.0639,18688.0
KDLY,0.7994,13.011199999999999,9.5678,27.019299999999998,,19.1129,0.1612,0.32939999999999997,,2690000.0,3.79,24.94,0.0924,10209446.0
NXTT,-0.0315,7.662000000000001,0.8779,0.4471,-0.48100000000000004,0.008199999999999999,0.1234,0.4808,,6420000.0,0.62,2.46,0.24239999999999998,3989841.0
BSGM,0.6667000000000001,5.640599999999999,3.5946,1.2251,1.4011000000000002,1.8522999999999998,0.0876,0.0855,1.0,421580.0,4.74,4.25,0.2879,1999654.0
GRYP,0.2336,5.4453,3.2470999999999997,0.9553,-0.2143,2.2942,0.062,0.2867,3.0,10880000.0,1.29,1.32,0.08199999999999999,14029881.0
SYTA,3.9015,4.437,1.0031,-0.3779,-0.9825,0.0641,0.5151,0.29309999999999997,3.0,7700000.0,6.68,6.47,0.2418,51402880.0
DFDV,2.3059,4.4032,62.0217,71.49029999999999,32.0556,60.277,0.25980000000000003,0.1907,,4790000.0,1.07,42.5,0.1962,5121825.0
NWTN,0.4524,3.8413,1.8814,0.525,-0.5271,1.6065,0.2763,0.2091,,1510000.0,0.56,1.83,0.011000000000000001,850546.0
VIGL,2.3966,3.3536,1.6007,1.6803,1.2579,3.6352999999999995,0.6269,0.2814,2.25,154550.0,229.87,7.88,2.4112999999999998,35525789.0
INZY,1.7887,3.0383,2.168,0.375,-0.1628,0.4296,0.0083,0.2465,2.75,1860000.0,1.07,3.96,0.0025,1988726.0
TOPW,0.35600000000000004,2.8377,,,,1.6554,0.11900000000000001,0.1322,,1300000.0,0.21,10.17,0.1703,276793.0
PONY,0.273,2.7919,-0.12789999999999999,,,0.43479999999999996,0.11410000000000001,0.1492,1.0,8490000.0,2.18,20.59,0.1909,18466946.0
FMST,0.2322,2.7796,1.6396000000000002,0.3333,-0.10339999999999999,0.8841,0.11810000000000001,0.1338,1.0,248040.0,3.86,2.6,0.1159,956761.0
GVH,0.2746,2.7708,1.4133000000000002,1.5191,0.1677,1.7019,0.0775,0.0836,,540510.0,0.17,1.81,0.183,91646.0
SVT,2.6094999999999997,2.6337,2.4011,2.354,1.7585,2.4184,0.6492,0.2917,,13890.0,3.74,37.9,0.0013,51914.0
GPUS,0.1686,2.4653,1.2581,0.1274,-0.4903,0.4403,0.2402,0.43729999999999997,1.0,8270000.0,0.27,7.0,-0.009899999999999999,2268714.0
HIMZ,-0.1861,2.4535,,,,1.1622,0.0547,0.1575,,891540.0,2.69,36.78,-0.1531,2398067.0
NCL,0.8537,2.1897,3.2045,2.0875,1.2107999999999999,2.3933,0.1243,0.1422,,3100000.0,0.52,0.93,0.2944,1612937.0
RGLS,0.0076,2.102,5.0382,4.5704,2.9353,4.0062999999999995,0.0060999999999999995,0.19820000000000002,2.67,1920000.0,0.36,7.91,-0.0013,696462.0
CEP,0.4648,2.0273,3.8029,3.9701,,3.8075,0.15380000000000002,0.1493,,3480000.0,1.02,49.95,0.16,3545066.0
KIDZ,0.3191,2.0268,-0.7034,-0.6943,-0.6873,-0.7034,0.1313,0.38520000000000004,,8990000.0,1.82,3.39,0.161,16344312.0
CTMX,0.065,1.9169999999999998,1.7308000000000001,1.4676,0.1094,1.068,0.04,0.2064,1.6,5130000.0,0.73,2.13,0.0441,3719606.0
SGMA,1.2172,1.7925,1.0414,0.1518,-0.3996,0.6629,0.41659999999999997,0.20079999999999998,,391490.0,2.12,2.96,-0.0034000000000000002,830974.0
ATHR,0.6916,1.7846000000000002,,,,2.0243,0.09609999999999999,0.0958,,267640.0,0.63,17.39,0.0761,169447.0
ABVE,0.2097,1.7619,1.7027,1.8846,-0.8266,1.7778,0.1507,0.2466,,834040.0,0.61,1.5,0.29309999999999997,509910.0
CLIK,-0.0702,1.7591999999999999,-0.4497,-0.4844,,-0.4454,0.15439999999999998,0.2708,,11370000.0,0.19,0.66,-0.016399999999999998,2130770.0
EPSM,0.1206,1.7286000000000001,,,,2.0456,0.0429,0.0949,,711620.0,0.28,14.68,0.0055000000000000005,200550.0
NVTS,1.4396,1.7150999999999998,0.5931000000000001,1.8371000000000002,0.3325,0.4146,0.5005,0.2211,2.0,4840000.0,56.51,5.05,1.6440000000000001,273679344.0
QBTS,0.7262000000000001,1.6703999999999999,1.6262,12.2222,13.5344,1.2667,0.14300000000000002,0.12179999999999999,1.0,70060000.0,3.43,19.04,0.2396,240167294.0
ZKIN,-0.1242,1.6441999999999999,0.47850000000000004,-0.24,-0.47609999999999997,-0.3453,0.18170000000000003,0.239,,2420000.0,0.04,2.75,-0.0108,96566.0
FNGR,-0.0947,1.6013,2.0,1.0758,0.37,2.425,0.055099999999999996,0.1002,1.0,624330.0,2.2,4.11,0.0431,1370916.0
IONX,0.8139,1.5835,,,,2.2022999999999997,0.29469999999999996,0.1469,,463370.0,7.09,85.25,0.7314,3285156.0
IONL,0.8295,1.5599,,,,1.5052,0.2964,0.147,,27860.0,9.18,59.57,0.7342,255790.0
NVNI,-0.0404,1.5443,-0.8362999999999999,-0.4989,-0.7197,-0.8323,0.0466,0.2262,1.0,29200000.0,0.1,0.41,0.022099999999999998,2919969.0
BTM,0.6794,1.4894,1.7209,0.8187000000000001,0.8571,1.1667,0.078,0.0874,1.0,587180.0,5.7,3.51,0.1623,3347705.0
PRE,0.9387000000000001,1.4809,1.0981,1.3337,0.8615,0.9353,0.1241,0.0784,1.0,13320.0,9.17,11.23,0.3875,122244.0
CISO,0.0992,1.4182,0.2667,0.0726,0.6218,-0.6167,0.052199999999999996,0.1285,1.0,5340000.0,0.14,1.33,0.015300000000000001,722239.0
CRWV,0.5229,1.4065,,,,1.504,0.1005,0.0765,2.22,17070000.0,3.56,100.16,-0.0673,60681052.0
