Industry,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Overall_Strength,Consistency,Ticker
Drug Manufacturers - Specialty & Generic,0.09,0.98,4.81,3.49,4.53,4.44,3.0,69.84,21
Medical Care Facilities,0.26,3.26,1.86,5.3,-0.2,3.74,2.84,63.32,5
Software - Infrastructure,0.09,0.39,1.12,1.54,0.95,1.13,0.87,63.1,58
Internet Content & Information,0.06,1.22,1.05,1.03,0.36,1.31,0.84,65.22,23
Shell Companies,0.14,0.58,1.31,1.18,0.29,0.93,0.78,100.0,5
Computer Hardware,0.09,0.39,0.03,1.54,2.37,-0.02,0.73,56.67,20
Internet Retail,0.02,0.31,0.51,0.99,0.55,0.86,0.54,72.73,11
Utilities - Regulated Electric,0.07,0.34,0.22,0.36,1.3,0.4,0.45,95.82,4
Other Precious Metals & Mining,0.24,0.33,0.51,0.42,0.42,0.67,0.43,83.35,4
Utilities - Independent Power Producers,-0.0,0.33,0.19,0.29,0.94,0.34,0.35,94.43,3
Integrated Freight & Logistics,0.08,0.73,0.2,0.44,0.21,0.43,0.34,66.66,5
Solar,-0.01,0.34,0.83,0.69,-0.18,0.36,0.34,41.65,6
Telecom Services,0.03,0.37,0.43,0.43,0.29,0.5,0.34,79.16,12
"Furnishings, Fixtures & Appliances",0.21,0.68,0.42,0.31,-0.01,0.4,0.34,50.02,5
Electrical Equipment & Parts,-0.01,0.35,0.36,0.27,0.79,0.27,0.34,50.0,16
Credit Services,0.03,0.37,0.05,0.13,1.21,0.13,0.32,53.03,11
Luxury Goods,0.04,0.71,-0.06,-0.02,-0.1,0.29,0.31,46.68,5
Pollution & Treatment Controls,0.2,0.55,0.24,0.15,0.53,0.14,0.3,76.68,5
Other Industrial Metals & Mining,0.14,0.87,0.39,0.02,0.11,0.21,0.29,69.98,5
Banks - Regional,0.06,0.24,0.45,0.3,0.27,0.31,0.27,65.38,13
Medical Devices,0.1,0.68,0.22,0.32,0.12,0.2,0.27,66.67,21
Aerospace & Defense,0.14,0.39,0.15,0.2,0.61,0.07,0.26,62.72,19
Communication Equipment,0.26,0.57,0.11,0.26,0.4,-0.03,0.26,60.79,17
Electronic Gaming & Multimedia,0.08,0.28,0.3,0.52,0.1,0.28,0.26,73.32,5
Capital Markets,0.13,0.59,0.23,-0.01,0.37,0.17,0.25,61.1,27
Security & Protection Services,0.14,0.34,0.05,0.4,0.36,0.16,0.24,69.04,7
Entertainment,0.06,0.4,0.11,0.09,0.54,0.22,0.24,64.27,7
Auto Manufacturers,0.06,0.85,0.23,0.16,-0.03,0.14,0.23,58.1,7
Specialty Industrial Machinery,0.02,0.29,-0.0,0.12,0.94,-0.05,0.21,57.52,31
Auto Parts,0.01,0.31,0.03,0.53,0.39,0.0,0.21,54.67,25
