Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_perf,Change,Volume,Company,Sector,Industry,Market Cap,P/E,Price_overview,Country,Perf Week_Rank,Perf Month_Rank,Perf Quart_Rank,Perf Half_Rank,Perf Year_Rank,Perf YTD_Rank,Short_Term_Strength,ST_Rank,Long_Term_Strength,LT_Rank,Overall_Strength,Overall_Rank,Consistency
ASST,0.8937,22.4414,18.7931,17.3472,6.034299999999999,25.524,0.20149999999999998,0.4397,,12550000.0,2.96,13.01,0.6182,37123656.0,Asset Entities Inc,Communication Services,Internet Content & Information,205200000.0,,13.01,USA,99.13194444444444,100.0,99.8240985048373,99.73070017953322,98.8929889298893,99.82638888888889,11.66755,100.0,14.0582,99.73614775725594,15.172283333333333,99.82638888888889,100.0
RGC,0.0983,13.4802,97.1111,65.8939,85.5686,88.3725,0.16210000000000002,0.26289999999999997,,708970.0,0.03,441.5,0.0639,18688.0,Regencell Bioscience Holdings Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,5750000000.0,,441.5,Hong Kong,79.60069444444444,99.91319444444444,100.0,99.91023339317773,100.0,100.0,6.78925,99.82638888888889,82.85786666666667,100.0,58.42076666666667,100.0,100.0
KDLY,0.7994,13.0112,9.5678,27.0193,,19.1129,0.1612,0.32939999999999997,,2690000.0,3.79,24.94,0.0924,10209446.0,Kindly MD Inc,Healthcare,Medical Care Facilities,150140000.0,,24.94,USA,98.95833333333334,99.82638888888889,99.73614775725594,99.82046678635548,,99.73958333333334,6.9053,99.91319444444444,18.29355,99.8240985048373,13.90212,99.73958333333334,100.0
NXTT,-0.0315,7.662000000000001,0.8779,0.4471,-0.481,0.0081999999999999,0.1234,0.4808,,6420000.0,0.62,2.46,0.24239999999999998,3989841.0,Next Technology Holding Inc,Technology,Software - Application,1070000000.0000001,1.08,2.46,China,22.43923611111111,99.73958333333334,95.51451187335093,83.93177737881507,15.59040590405904,53.99305555555556,3.8152500000000003,99.65277777777779,0.2813333333333333,77.30870712401055,1.4137833333333336,97.04861111111111,66.7
BSGM,0.6667000000000001,5.640599999999999,3.5946,1.2251,1.4011000000000002,1.8523,0.0876,0.0855,1.0,421580.0,4.74,4.25,0.2879,1999654.0,Biosig Technologies Inc,Healthcare,Medical Devices,116000000.0,,4.25,USA,98.26388888888889,99.65277777777779,99.12049252418646,94.43447037701975,92.619926199262,97.56944444444444,3.15365,99.47916666666666,2.0736000000000003,97.36147757255937,2.396733333333333,98.95833333333334,100.0
GRYP,0.2336,5.4453,3.2471,0.9553,-0.2143,2.2942,0.062,0.2867,3.0,10880000.0,1.29,1.32,0.08199999999999999,14029881.0,Gryphon Digital Mining Inc,Financial,Capital Markets,95780000.0,,1.32,USA,92.05729166666666,99.56597222222221,98.94459102902374,92.81867145421903,33.025830258302584,98.26388888888889,2.83945,99.30555555555556,1.3293666666666666,95.25065963060686,1.9935333333333334,98.4375,83.3
SYTA,3.9015,4.437,1.0031,-0.3779,-0.9825,0.0641,0.5151,0.29309999999999997,3.0,7700000.0,6.68,6.47,0.2418,51402880.0,Siyata Mobile Inc,Technology,Communication Equipment,19520000.0,,6.47,Canada,100.0,99.47916666666666,95.86631486367634,10.59245960502693,0.7380073800738007,61.935763888888886,4.16925,99.73958333333334,-0.11909999999999998,31.75021987686895,1.3408833333333332,96.875,66.7
DFDV,2.3059,4.4032,62.0217,71.49029999999999,32.0556,60.277,0.25980000000000003,0.1907,,4790000.0,1.07,42.5,0.1962,5121825.0,DeFi Development Corp,Technology,Software - Infrastructure,614850000.0,,42.5,USA,99.73958333333334,99.39236111111111,99.91204925241864,100.0,99.90774907749078,99.91319444444444,3.3545499999999997,99.56597222222221,55.1892,99.91204925241864,38.75895,99.91319444444444,100.0
NWTN,0.4524,3.8413,1.8814,0.525,-0.5271,1.6065,0.2763,0.2091,,1510000.0,0.56,1.83,0.011000000000000001,850546.0,NWTN Inc,Consumer Cyclical,Auto Manufacturers,534720000.0,,1.83,United Arab Emirates,97.30902777777779,99.30555555555556,98.0650835532102,86.08617594254937,13.191881918819186,97.04861111111111,2.14685,98.95833333333334,0.6264333333333334,87.86279683377309,1.2965833333333334,96.52777777777779,83.3
VIGL,2.3966,3.3536,1.6007,1.6803,1.2579,3.6353,0.6269,0.2814,2.25,154550.0,229.87,7.88,2.4112999999999998,35525789.0,Vigil Neuroscience Inc,Healthcare,Biotechnology,367770000.0,,7.88,USA,99.82638888888889,99.21875,97.53737906772207,95.78096947935369,91.69741697416974,99.39236111111111,2.8750999999999998,99.39236111111111,1.5129666666666666,95.86631486367634,2.320733333333333,98.69791666666666,100.0
INZY,1.7887,3.0383,2.168,0.375,-0.1628,0.4296,0.0083,0.2465,2.75,1860000.0,1.07,3.96,0.0025,1988726.0,Inozyme Pharma Inc,Healthcare,Biotechnology,255670000.0,,3.96,USA,99.609375,99.08854166666666,98.4608619173263,80.9245960502693,37.776752767527675,86.93576388888889,2.4135,99.08854166666666,0.7934000000000001,91.42480211081794,1.2728,96.13715277777779,83.3
INZY,1.7887,3.0383,2.168,0.375,-0.1628,0.4296,0.0083,0.2465,2.75,1860000.0,1.07,3.96,0.0025,1988726.0,Inozyme Pharma Inc,Healthcare,Biotechnology,255670000.0,,3.96,USA,99.609375,99.08854166666666,98.4608619173263,80.9245960502693,37.776752767527675,86.93576388888889,2.4135,99.08854166666666,0.7934000000000001,91.42480211081794,1.2728,96.13715277777779,83.3
TOPW,0.356,2.8377,,,,1.6554,0.11900000000000001,0.1322,,1300000.0,0.21,10.17,0.1703,276793.0,Top Win International Ltd,Consumer Cyclical,Luxury Goods,252870000.0,,10.17,Hong Kong,96.26736111111111,98.95833333333334,,,,97.22222222222221,1.5968499999999999,98.87152777777779,,,1.6163666666666667,97.74305555555556,100.0
PONY,0.273,2.7919,-0.1278999999999999,,,0.4347999999999999,0.11410000000000001,0.1492,1.0,8490000.0,2.18,20.59,0.1909,18466946.0,Pony AI Inc. ADR,Technology,Information Technology Services,5540000000.0,,20.59,China,93.48958333333334,98.87152777777779,26.73702726473175,,,87.15277777777779,1.53245,98.69791666666666,-0.1278999999999999,30.167106420404572,0.8429500000000001,93.31597222222221,75.0
FMST,0.2322,2.7796,1.6396000000000002,0.3333,-0.1033999999999999,0.8841,0.11810000000000001,0.1338,1.0,248040.0,3.86,2.6,0.1159,956761.0,Foremost Clean Energy Ltd,Basic Materials,Other Industrial Metals & Mining,26880000.0,,2.6,Canada,91.75347222222221,98.78472222222221,97.71328056288479,78.85996409335728,43.17343173431734,94.87847222222221,1.5059,98.4375,0.6231666666666668,87.77484608619174,0.9609000000000002,94.53125,83.3
GVH,0.2746,2.7708,1.4133000000000002,1.5191,0.1677,1.7019,0.0775,0.0836,,540510.0,0.17,1.81,0.183,91646.0,Globavend Holdings Ltd,Industrials,Integrated Freight & Logistics,27020000.0,29.82,1.81,Australia,93.66319444444444,98.69791666666666,97.273526824978,95.33213644524237,64.02214022140221,97.30902777777779,1.5227,98.61111111111111,1.0333666666666668,93.49164467897977,1.3079,96.70138888888889,100.0
SVT,2.6095,2.6337,2.4011,2.354,1.7585,2.4184,0.6492,0.2917,,13890.0,3.74,37.9,0.0013,51914.0,"Servotronics, Inc",Industrials,Aerospace & Defense,96890000.0,,37.9,USA,99.91319444444444,98.61111111111111,98.59278803869833,97.30700179533214,94.4649446494465,98.69791666666666,2.6216,99.21875,2.1712000000000002,97.62532981530343,2.3625333333333334,98.87152777777779,100.0
